PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesContract (0.2s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/aitable/create_comment/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/aitable/delete_comment/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/aitable/entity_search/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/aitable/list_comments/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/aitable/psql/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/aitable/psql/1 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/aitable/record_ids/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/aitable/reply_comment/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/aitable/update_comment/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/chat/download_media/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/chat/promote_message_to_thread/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/chat/upload_local_conversation_file/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/chat/upload_local_conversation_file/1 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dev/add_dev_app_members/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dev/apply_dev_app_permissions/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dev/connect_restart/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dev/connect_restart/1 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dev/connect_stop/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dev/connect_stop/1 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dev/create_dev_app/0 (0.03s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dev/create_dev_app_version/0 (0.03s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dev/delete_dev_app/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dev/disable_dev_app/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dev/disable_dev_app_robot/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dev/enable_dev_app/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dev/enable_dev_app_robot/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dev/get_dev_app/0 (0.03s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dev/get_dev_app/1 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dev/get_dev_app_credentials/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dev/get_dev_app_version_detail/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dev/get_dev_app_version_status/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dev/get_extension_robot_config/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dev/get_extension_webapp_config/0 (0.03s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dev/list_dev_app/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dev/list_dev_app_events/0 (0.03s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dev/list_dev_app_members/0 (0.02s)
